user_0,active,tier_0,2026-01-01
user_1,active,tier_1,2026-02-02
user_2,active,tier_2,2026-03-03
user_3,active,tier_0,2026-04-04
user_4,active,tier_1,2026-05-05
user_5,active,tier_2,2026-06-06
user_6,active,tier_0,2026-07-07
user_7,active,tier_1,2026-08-08
user_8,active,tier_2,2026-09-09
user_9,active,tier_0,2026-01-01
user_10,active,tier_1,2026-02-02
user_11,active,tier_2,2026-03-03
user_12,active,tier_0,2026-04-04
user_13,active,tier_1,2026-05-05
user_14,active,tier_2,2026-06-06
user_15,active,tier_0,2026-07-07
user_16,active,tier_1,2026-08-08
user_17,active,tier_2,2026-09-09
user_18,active,tier_0,2026-01-01
user_19,active,tier_1,2026-02-02
user_20,active,tier_2,2026-03-03
user_21,active,tier_0,2026-04-04
user_22,active,tier_1,2026-05-05
user_23,active,tier_2,2026-06-06
user_24,active,tier_0,2026-07-07
user_25,active,tier_1,2026-08-08
user_26,active,tier_2,2026-09-09
user_27,active,tier_0,2026-01-01
user_28,active,tier_1,2026-02-02
user_29,active,tier_2,2026-03-03
user_30,active,tier_0,2026-04-04
user_31,active,tier_1,2026-05-05
user_32,active,tier_2,2026-06-06
user_33,active,tier_0,2026-07-07
user_34,active,tier_1,2026-08-08
user_35,active,tier_2,2026-09-09
user_36,active,tier_0,2026-01-01
user_37,active,tier_1,2026-02-02
user_38,active,tier_2,2026-03-03
user_39,active,tier_0,2026-04-04
user_40,active,tier_1,2026-05-05
user_41,active,tier_2,2026-06-06
user_42,active,tier_0,2026-07-07
user_43,active,tier_1,2026-08-08
user_44,active,tier_2,2026-09-09
user_45,active,tier_0,2026-01-01
user_46,active,tier_1,2026-02-02
user_47,active,tier_2,2026-03-03
user_48,active,tier_0,2026-04-04
user_49,active,tier_1,2026-05-05
user_50,active,tier_2,2026-06-06
user_51,active,tier_0,2026-07-07
user_52,active,tier_1,2026-08-08
user_53,active,tier_2,2026-09-09
user_54,active,tier_0,2026-01-01
user_55,active,tier_1,2026-02-02
user_56,active,tier_2,2026-03-03
user_57,active,tier_0,2026-04-04
user_58,active,tier_1,2026-05-05
user_59,active,tier_2,2026-06-06
